transaction_id,time_id,product_id,farmer_id,warehouse_id,retail_partner_id,quantity_kg,price_per_kg,shipping_cost,shipment_id
1,177,32,850,191,413,85.16,4168.38,105885.62,714
2,209,245,544,660,778,78.99,3153.62,158966.98,578
3,194,303,775,905,812,429.08,12108.89,165685.62,624
4,534,817,610,394,341,409.33,9304.28,131033.04,659
5,992,535,48,660,777,496.91,11771.78,154163.18,147
6,186,465,219,973,276,179.53,9935.41,138485.92,796
7,739,659,93,178,501,381.06,6515.56,199128.93,730
8,705,959,374,586,446,287.06,6242.37,113584.71,392
9,127,297,516,757,81,218.04,6858.51,157072.58,755
10,267,791,171,133,115,465.36,12012.58,108344.93,644
11,824,313,313,97,504,330.46,4740.21,140240.49,705
12,912,409,520,366,368,150.53,10955.54,162531.86,870
13,510,818,501,612,997,57.44,14042.38,77919.03,17
14,957,553,506,762,109,491.64,10641.0,148521.47,841
15,779,736,318,437,210,415.31,5200.12,167440.33,382
16,582,753,489,244,597,364.48,11131.02,120366.59,348
17,487,486,532,544,402,63.21,5182.7,73451.12,463
18,527,529,659,327,452,174.34,10779.73,134146.92,527
19,793,170,747,562,964,330.32,11327.92,73363.55,259
20,818,585,112,934,867,100.37,4639.21,142756.84,430
21,63,212,50,370,333,333.74,10953.53,159280.64,419
22,482,884,517,426,469,417.93,4935.61,164412.59,44
23,17,596,590,480,41,220.21,11312.83,109098.54,261
24,269,498,324,373,672,299.39,4978.71,52520.14,876
25,177,324,495,424,222,286.65,14801.91,171615.67,777
26,577,196,694,91,371,373.83,9880.85,140743.15,406
27,58,933,527,633,198,414.32,3395.77,100367.61,397
28,209,736,154,219,839,253.06,4196.34,192802.52,963
29,253,742,606,272,303,252.35,4067.15,147513.29,795
30,169,567,197,87,909,189.83,8104.26,64111.29,905
31,174,95,304,435,410,316.21,8009.17,124125.03,506
32,64,754,673,41,532,182.4,14113.61,158538.7,48
33,522,916,185,899,214,114.24,10523.19,154238.27,743
34,824,321,283,800,544,201.83,12466.51,158318.13,439
35,533,68,829,879,513,314.94,14186.11,61247.19,313
36,734,249,740,725,769,104.36,7459.04,171034.57,459
37,249,528,407,781,773,167.74,14330.0,121979.19,502
38,824,695,483,40,409,190.55,9491.0,89049.69,452
39,884,122,704,330,109,419.1,3414.79,183975.75,671
40,912,682,952,311,626,199.82,12202.89,153477.02,501
41,870,246,293,449,679,310.26,7619.48,100392.29,399
42,816,467,142,623,878,180.02,3553.26,89458.15,821
43,182,209,589,384,691,71.55,7150.14,50929.25,597
44,735,19,178,99,371,246.08,12497.21,58526.05,292
45,220,642,617,772,655,192.63,6773.74,100177.81,354
46,942,807,884,383,519,153.96,12610.58,95293.89,485
47,524,616,278,557,955,159.47,8040.65,160145.1,180
48,573,376,12,885,467,101.84,7500.06,168797.4,42
49,830,826,985,358,758,272.4,8598.32,75183.12,889
50,445,228,741,869,474,185.38,5861.15,69290.38,611
51,779,323,403,96,204,286.74,3055.25,194513.78,508
52,35,755,353,519,44,146.75,10226.75,106025.83,981
53,162,637,169,98,584,357.98,13787.36,192989.88,700
54,190,869,843,650,226,250.86,11086.73,51903.42,338
55,613,489,221,278,573,258.29,4509.29,124871.67,437
56,295,278,552,126,886,238.66,12427.27,101886.97,316
57,582,513,136,73,945,417.8,7630.53,183198.24,671
58,823,86,926,854,342,365.03,14383.83,181623.81,546
59,425,788,22,929,973,458.04,13568.1,167006.09,208
60,515,554,549,750,623,321.27,13809.68,101133.58,469
61,60,60,549,888,494,198.76,9028.36,187190.63,507
62,993,670,409,668,381,244.7,4957.81,127792.78,710
